Country Name,Country Code,year,gdp_per_capita,school_enrollment,electricity_access,log_gdp
Pacific island small states,PSS,2019,4185.0758997627,73.7306671142578,84.3434350882329,8.339280118903131
Pacific island small states,PSS,2020,3632.52907231285,73.7883224487305,86.1939811336602,8.197684398802046
Pacific island small states,PSS,2021,3646.98862815783,74.7895202636719,85.6708178235478,8.20165707266777
Pacific island small states,PSS,2022,3941.90128416234,79.3243865966797,85.6038100577211,8.279418445329686
Pacific island small states,PSS,2023,4199.64948077192,84.1793899536133,88.8705713618501,8.342756343829667
Pacific island small states,PSS,2024,4528.48364572376,83.7621612548828,88.2672275917394,8.418142426397145
Post-demographic dividend,PST,2015,40960.9089975197,105.744827270508,99.9447341377698,10.620373451789401
Post-demographic dividend,PST,2016,41720.329677393,105.599746704102,99.9577816305613,10.638743811226176
Post-demographic dividend,PST,2017,43356.99969696,105.74494934082,99.971122525168,10.677223438538618
Post-demographic dividend,PST,2018,45787.7299792029,105.111068725586,99.9821600556642,10.73177142982527
Post-demographic dividend,PST,2019,46125.7453007656,105.30248260498,99.9932424627619,10.739126539494466
Post-demographic dividend,PST,2020,45174.5036479433,105.267570495605,99.9972400773978,10.71828812808282
Post-demographic dividend,PST,2021,50433.5519322417,105.331413269043,99.9988344208097,10.828411945512197
Post-demographic dividend,PST,2022,51597.0182783268,104.075889587402,100,10.851219164496275
Post-demographic dividend,PST,2023,54507.2154710128,103.410873413086,100,10.906088365851566
Post-demographic dividend,PST,2024,56385.0585145595,103.438346862793,100,10.939959482434041
Qatar,QAT,2015,68985.2946961507,101.946830749512,100,11.141648640520387
Qatar,QAT,2016,61253.6375482797,97.44147524298,100,11.022778515186886
Qatar,QAT,2017,63279.8556949332,101.989694099425,100,11.055322322017526
Qatar,QAT,2018,71039.8490579352,102.15490140040001,100,11.170996252916261
Qatar,QAT,2019,66841.3013484919,105.162567508393,100,11.1100764521262
Qatar,QAT,2020,51683.5054376677,105.869328366077,100,10.852893965832388
Qatar,QAT,2021,71751.8831257169,95.6694483531864,100,11.180969378932048
Qatar,QAT,2022,88701.463352273,102.968360766419,100,11.39303166593242
Qatar,QAT,2023,80195.8746508549,100.136596679688,100,11.292227354262971
Qatar,QAT,2024,75685.0865779973,99.578857421875,100,11.234336413121456
Romania,ROU,2015,8977.01748158196,91.3377075195312,98.8,9.102422977129411
Romania,ROU,2016,9404.54005870715,88.7795104980469,99.1,9.148947836627244
Romania,ROU,2017,10727.9822007426,88.3843231201172,100,9.280610765819814
Romania,ROU,2018,12416.134317959,86.5577163696289,99.8,9.42675206049907
Romania,ROU,2019,12909.6104013244,86.4074096679688,100,9.465727305331441
Romania,ROU,2020,13009.1525348396,86.416877746582,100,9.473408429864481
Romania,ROU,2021,14908.0412813921,86.1970901489258,100,9.609656029671791
Romania,ROU,2022,15503.4691366242,83.0334701538086,100,9.648819093130516
Romania,ROU,2023,18244.4186876321,81.6316070556641,100,9.811614486901306
Russian Federation,RUS,2015,9277.7138671875,96.3292563031308,95.5,9.135370444912384
Russian Federation,RUS,2016,8663.158203125,95.8434944997854,99.4,9.066834623656327
Russian Federation,RUS,2017,10658.9130859375,97.5206298303399,100,9.274151730601806
Russian Federation,RUS,2018,11211.8876953125,99.1831046517789,100,9.324729895762207
Russian Federation,RUS,2019,11447.701171875,100.471744682473,99.8,9.345544217809904
Russian Federation,RUS,2020,10108.3271484375,91.5812884026933,99.9,9.221114833282865
Russian Federation,RUS,2021,12425.029296875,92.171155276901,100,9.427468208859434
Russian Federation,RUS,2022,15625.6328125,92.7729443625069,100,9.656667973784499
Russian Federation,RUS,2023,13986.9951171875,92.4840470838527,100,9.54588325668276
Rwanda,RWA,2015,725.691418696952,39.4099042857311,22.8,6.58712488135122
Rwanda,RWA,2016,721.258515833094,38.506238583342,29.4,6.580997624800224
Rwanda,RWA,2017,751.049039527547,39.6912128982215,34.1,6.621470948603684
Rwanda,RWA,2018,772.754982959354,41.1796940634956,38,6.649962029337413
Rwanda,RWA,2019,823.355304065304,44.0779032495009,46.6,6.713387825697432
Rwanda,RWA,2021,842.581492947672,44.1820840550314,48.7,6.736470385083039
Rwanda,RWA,2022,1007.05989322914,44.1547093958443,50.6,6.914790367840786
Rwanda,RWA,2023,1061.05788154076,45.1251505756161,63.9,6.9670216908873
Rwanda,RWA,2024,1059.93709298801,48.790277194547,72,6.965964839107329
South Asia,SAS,2015,1570.54142452744,72.9351806640625,86.5327784624672,7.359175695279962
South Asia,SAS,2016,1722.90703396273,74.687141418457,88.3184480403398,7.451768279159738
South Asia,SAS,2017,1956.06707563972,73.4670028686523,91.3983728307397,7.578691142256143
South Asia,SAS,2018,1988.36633317988,75.0400314331055,94.8192024055978,7.595068642463758
South Asia,SAS,2019,2067.05975680251,74.9521636962891,95.4698953988653,7.633882469182854
South Asia,SAS,2020,1957.20343709781,77.0081481933594,96.4013617397441,7.579271915543515
South Asia,SAS,2021,2273.72055805692,79.3212738037109,99.3693129133951,7.729172781120425
South Asia,SAS,2022,2326.72890585805,79.9404983520508,99.0895114731934,7.752218657099313
South Asia,SAS,2023,2449.857142451,77.9340286254883,99.4087889697405,7.803784992635052
South Asia,SAS,2024,2601.82209529365,76.874153137207,99.8246424902051,7.863967284441973
Saudi Arabia,SAU,2015,23256.1549553531,102.979200639837,100,10.054325105243393
Saudi Arabia,SAU,2016,22267.7217050387,105.491550199825,99.9,10.010893451696953
